,,,,,,,,,,,,,,,,,,,,,doorman??,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,SEASON 1,Successes,Failures,,SEASON 2,Successes,Failures,,SEASON 3,Successes,Failures,,SEASON 4,Successes,Failures,,SEASON 5,Successes,Failures,,SEASON 6,Successes,Failures,
,Ep 1,2,2,,Ep 1,2,2,,Ep 1,2,2,,Ep 1,2,2,,Ep 1,2,2,,Ep 1,2,2,
,Ep 2,2,2,,Ep 2,2,2,,Ep 2,1,3,,Ep 2,2,2,,Ep 2,2,2,,Ep 2,2,2,
,,,,,Ep 3,2,3,,Ep 3,2,2,,Ep 3,2,2,,Ep 3,2,2,,Ep 3,1,3,
,Ep 4,2,3,,Ep 4,2,3,,Ep 4,2,2,,Ep 4,2,2,,Ep 4,2,2,,Ep 4,2,2,
,Ep 5,2,3,,Ep 5,2,3,,Ep 5,3,1,,Ep 5,2,2,,,,,,Ep 5,2,2,
,Ep 6,2,2,,Ep 6,2,3,,Ep 6,2,2,,Ep 6,2,2,,Ep 6,2,2,,Ep 6,1,2,not incl. kimmel
,Ep 7,2,2,,Ep 7,2,2,,Ep 7,2,2,,Ep 7,2,2,,Ep 7,3,1,,,,,
,Ep 8,2,2,,Ep 8,2,2,,Ep 8,1,3,,Ep 8,2,1,,Ep 8,1,3,,Ep 8,2,2,
,Ep 9,2,2,,,,,,Ep 9,2,2,,Ep 9,2,2,,Ep 9,0,4,,Ep 9,3,1,
,,,,,,,,,Ep 10,1,3,,Ep 10,1,3,,Ep 10,3,1,,Ep 10,3,1,
,Ep 11,2,3,,,,,,Ep 11,0,4,,Ep 11,2,2,,Ep 11,1,3,,Ep 11,3,1,
,Ep 12,1,3,,,,,,Ep 12,2,2,,Ep 12,2,2,,Ep 12,2,2,,Ep 12,3,1,
,Ep 13,2,2,,,,,,Ep 13,2,2,,Ep 13,3,1,,Ep 13,2,2,,Ep 13,2,2,
,Ep 14,2,2,,,,,,Ep 14,3,1,,Ep 14,1,3,,Ep 14,2,2,,Ep 14,3,1,
,Ep 15,2,2,,,,,,Ep 15,2,2,,Ep 15,2,2,,Ep 15,2,2,,Ep 15,2,2,
,,,,,,,,,,,,,Ep 16,2,2,,Ep 16,2,2,,Ep 16,2,2,
,,,,,Explanation,Successes,Failures,,Successes,Failures,,,Ep 17,0,4,,Ep 17,2,2,,Ep 17,2,2,
,,,,,Ep X,1,3,←,1,0,,,Ep 18,2,2,,Ep 18,1,3,,Ep 18,2,2,
,,,,,,,,,0,1,,,Ep 19,2,2,,Ep 19,2,2,,Ep 19,2,2,
,,,,,,,,,0,1,,,Ep 20,3,1,,Ep 20,3,1,,Ep 20,3,1,
,SEASON 1,52,,,,,,,0,1,,,Ep 21,2,2,,Ep 21,3,1,,Ep 21,3,1,
,SEASON 2,32,,,,Successes,Failures,,Successes,Failures,,,Ep 22,2,2,,Ep 22,3,1,,Ep 22,3,1,
,SEASON 3,60,144,,Ep Y,2,2,←,1,0,,,Ep 23,3,1,,Ep 23,3,1,,Ep 23,1,3,
,SEASON 4,104,,,,,,,1,0,,,Ep 24,2,2,,Ep 24,2,2,,Ep 24,1,3,
,SEASON 5,112,,,,,,,0,1,,,Ep 25,2,2,,Ep 25,2,2,,Ep 25,3,1,
,SEASON 6,112,,,,,,,0,1,,,Ep 26,3,1,,Ep 26,2,2,,Ep 26,2,2,
,SUM,472,,,,,,,,,,,,,,,Ep 27,2,2,,Ep 27,2,2,
,,,,,,,,,,,,,,,,,Ep 28,3,1,,Ep 28,3,1,
,,,,,,,,,,,,,,,,,Ep 29,2,2,,Ep 29,3,1,
